"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"ECE","197","ECE-197","ECE Internship","An enrichment program that provides work experience with public/private section employers. Subject to the availability of positions, students will work in a local company under the supervision of a faculty member and site supervisor. (P/NP grades only.)","none"
"ECE","198","ECE-198","Directed Group Study","Topics in electrical and computer engineering whose study involves reading and discussion by a small group of students under direction of a faculty member. (P/NP grades only.)","none"
"ECE","199","ECE-199","Independent Study for Undergraduates","Independent reading or research by special arrangement with a faculty member. (P/NP grades only.)","none"
"MAE","002","MAE-002","Introduction to Aerospace Engineering","An introduction to topics in aeronautical and astronautical engineering including aerodynamics, propulsion, flight mechanics, structures, materials, orbital mechanics, design, mission planning, and environments. General topics include historical background, career opportunities, engineering ethics, and professionalism.","none"
"MAE","003","MAE-003","Introduction to Mechanical Design","Introduction to design process through hands-on individual and team projects. Topics include 2D/3D CAD (drawing projections/isometrics, dimensioning), design problem identification, prototype fabrication techniques (shop skills, rapid prototyping), design process (concept generation/selection, risk reduction strategies, scheduling), learning from hardware performance (problem solving/redesign), teamwork. Use of components: fasteners, couplings, DC motors, oral/written communication with graphics. Program or materials fees may apply.","PHYS 2A or PHYS 4A"
"MAE","005","MAE-005","Quantitative Computer Skills","Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC.","none"
"MAE","007","MAE-007","Spatial Visualization","(Cross-listed with SE 7.) Spatial visualization is the ability to manipulate 2-D and 3-D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7.","none"
"MAE","008","MAE-008","MATLAB Programming for Engineering Analysis","Computer programming in MATLAB with elementary numerical analysis of engineering problems. Arithmetic and logical operations, arrays, graphical presentation of computations, symbolic mathematics, solutions of equations, and introduction to data structures.","MATH 20A, MATH 20B"
"MAE","011","MAE-011","Thermodynamics","Fundamentals of engineering thermodynamics: energy, work, heat, properties of pure substances, first and second laws for closed systems and control volumes, gas mixtures. Application to engineering systems, power and refrigeration cycles, combustion. Renumbered from MAE 110A. Students may not receive credit for MAE 11 and MAE 110A.","PHYS 2C, CHEM 6A"
"MAE","020","MAE-020","Elements of Materials Science","The structure of materials: metals, ceramics, glasses, semiconductors, superconductors, and polymers to produce desired, useful properties. Atomic structures. Defects in materials, phase diagrams, microstructural control. Mechanical and electrical properties are discussed. Time temperature transformation diagrams. Diffusion.","PHYS 2A or PHYS 4A, CHEM 6A or CHEM 6AH, MATH 20C"
"MAE","021","MAE-021","Aerospace Materials Science","Atomic structure and physical properties of engineering materials including metals, ceramics, glasses, polymers, and composite materials. Defects and phase diagram of materials. Material testing and processing. Program or materials fees may apply.","PHYS 2A or PHYS 4A, CHEM 6A or CHEM 6AH, MATH 20B"
"MAE","030A","MAE-030A","Statics and Introduction to Dynamics","Statics: statics of particles and rigid bodies in 3-D. Free body diagrams. Moment of a force, couples, equivalent systems of forces. Distributed forces, centroids, and centers of gravity. Introduction to dynamics: 3-D relative motion, kinematics, and kinetics of particles. Newton’s equations of motion. Equilibrium problems with friction. Enrollment restricted to engineering majors MC 25, MC 27, MC 29, MC 30–34, MC 35–37, and SE 27.","PHYS 2A, MATH 31BH or MATH 20C"
"MAE","030B","MAE-030B","Dynamics and Vibrations","Dynamics: energy methods for motion of particles and rigid bodies, including virtual work, power, and Lagrange’s equations. Impact and impulses. Systems of particles. Introduction to 3-D dynamics of rigid bodies. Introduction to vibrations: free and harmonically forced vibrations of undamped and damped single degree of freedom systems. Enrollment restricted to engineering majors only MC 25, MC 27, MC 29, MC 30–34, MC 35–37, and SE 27.","MAE 30A"
"MAE","040","MAE-040","Linear Circuits","Steady-state and dynamic behavior of linear, lumped-parameter electrical circuits. Kirchhoff’s laws. RLC circuits. Node and mesh analysis. Operational amplifiers. Signal acquisition and conditioning. Electric motors. Design applications in engineering.","MATH 20D, MATH 31AH or MATH 18 or MATH 20F, PHYS 2B"
"MAE","087","MAE-087","First-year Student Seminar","The First-year Student Seminar program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.","none"
"MAE","088","MAE-088","Learn Sustainable Well-Being: Compassion for Self and Others, an Engineer’s Perspective","This experiential course teaches the art of practicing psychological well-being, based on Eastern and Western approaches (e.g., mindfulness, positive psychology, cognitive therapy, neuroscience, theatre and art), from the perspective of an engineer. Each week there is a short lecture on a given topic, combined with workshop-style exercises.","none"
"MAE","091","MAE-091","Introduction to Topics in Mechanical and Aerospace Engineering","An introduction to special topics in mechanical and aerospace engineering.","none"
"MAE","092A","MAE-092A","Design Competition—Design, Build, and Fly Aircraft","(Cross-listed with SE 10A.) Student teams design, build, and fly unmanned aircraft for a national student competition. Students concentrate on vehicle system design including aerodynamics, structures, propulsion, and performance. Teams engineering, fabricate the aircraft, submit a design report, and prep aircraft for competition.","none"
"MAE","093","MAE-093","Design Competition—Design, Build, and Test Race Car","Student teams design, build, and test a formula-style racing car for an international student competition. Students concentrate on vehicle system analysis and design, manufacturability and performance. Teams engineer, fabricate car, submit a design report and prep car for competition.","none"
"MAE","094","MAE-094","Rocketry Competitions—Design and Build Rockets and Space Systems","Student teams design, build, and test different components of rockets and cubesats for national level competitions. Students will be involved in planning, designing, manufacturing, and testing various systems. Team engineers will focus on the feasibility of manufacturing and performance for the targeted competitions. Final design reports will be prepared by the teams.","none"
"MAE","098","MAE-098","Directed Group Study","Directed group study on a topic or in a field not included in the regular departmental curriculum. P/NP grades only. May be taken for credit two times. Credit may not be received for a course numbered 97, 98, or 99 subsequent to receiving credit for a course numbered 197, 198, or 199.","none"
"MAE","099H","MAE-099H","Independent Study","Independent study or research under direction of a member of the faculty.","none"
"MAE","101A","MAE-101A","Introductory Fluid Mechanics","Fluid statics; fluid kinematics; integral and differential forms of the conservation laws for mass, momentum, and energy; Bernoulli equation; potential flows; dimensional analysis and similitude.","PHYS 2A or PHYS 4A, MATH 20D, MATH 20E or MATH 31CH"
"MAE","101B","MAE-101B","Advanced Fluid Mechanics","Laminar and turbulent flow. Pipe flow including friction factor. Boundary layers, separation, drag, and lift. Compressible flow including shock waves.","MAE 101A or CENG 101A, MAE 11 or MAE 110A or CENG 102"
"MAE","101C","MAE-101C","Heat Transfer","Extension of fluid mechanics in MAE 101A–B to viscous, heat-conducting flows. Application of the energy conservation equation to heat transfer in ducts and external boundary layers. Heat conduction and radiation transfer. Heat transfer coefficients in forced and free convection. Design applications.","MAE 101A or CENG 101A, MAE 101B, MAE 105"
"MAE","101D","MAE-101D","Intermediate Heat Transfer","Course builds on the MAE fluids sequence, offering more advanced concepts in conduction, convection, radiation, and heat exchanger design. This course covers numerical methods in conduction, boiling, condensation and evaporation analysis, natural and turbulent convection, spectral and directional radiative transfer, heatpipes, thermal design of spacecraft, heat exchanger analysis and design.","MAE 101C"
"MAE","104","MAE-104","Aerodynamics","Basic relations describing flow field around wings and bodies at subsonic and supersonic speed. Thin-wing theory. Slender-body theory. Formulation of theories for evaluating forces and moments on airplane geometries. Application to the design of high-speed aircraft.","MAE 101A, MAE 101B"
"MAE","105","MAE-105","Introduction to Mathematical Physics","Fourier series, Sturm Liouville theory, elementary partial differential equations, integral transforms with applications to problems in vibration, wave motion, and heat conduction.","PHYS 2A, PHYS 2B, MATH 20D or MATH 21D"
"MAE","107","MAE-107","Computational Methods in Engineering","Introduction to scientific computing and algorithms; iterative methods, systems of linear equations with applications; nonlinear algebraic equations; function interpolation and differentiation and optimal procedures; data fitting and least-squares; numerical solution of ordinary differential equations.","MAE 8 or MAE 9, MATH 18 or MATH 20F or MATH 31AH"
"MAE","108","MAE-108","Probability and Statistical Methods for Engineering","Probability theory, conditional probability, Bayes theorem, random variables, densities, expected values, characteristic functions, central limit theorem. Engineering reliability, elements of estimation, random sampling, sampling distributions, hypothesis testing, confidence intervals. Curve fitting and data analysis. Students cannot receive credit for MAE 108 and ECE 109, ECON 120A, MATH 180A, MATH 183, MATH 186, or SE 125.","MATH 18 or MATH 20F"
"MAE","110","MAE-110","Thermodynamic Systems","Thermodynamic analysis of power cycles with application to combustion driven engines: internal combustion, diesel, and gas turbines. Thermodynamics of mixtures and chemical and phase equilibrium. Computational methods for calculating chemical equilibrium. Renumbered from MAE 110B. Students may not receive credit for MAE 110 and MAE 110B.","MAE 11 or MAE 110A"
"MAE","113","MAE-113","Fundamentals of Propulsion","Compressible flow, thermodynamics, and combustion relevant to aircraft and space vehicle propulsion. Analysis and design of components for gas turbines, including turbines, inlets, combustion chambers and nozzles. Fundamentals of rocket propulsion.","MAE 11 or MAE 110A or CENG 102, MAE 101A or CENG 101A, MAE 101B or CENG 101C"
"MAE","114","MAE-114","Space Propulsion","This course covers the fundamentals of rocket propulsion and discusses advanced concepts in space propulsion. Topics include liquid and solid propellant rocket engines, electrical rocket propulsion, nuclear propulsion devices, solar-powered vehicles, and current challenges and opportunities in launch vehicle technologies.","MAE 113"
"MAE","117A","MAE-117A","Elementary Plasma Physics","(Cross-listed with Physics 151.) Particle motions, plasmas as fluids, waves, diffusion, equilibrium and stability, nonlinear effects, controlled fusion. Recommended preparation: PHYS 100B–C or ECE 107.","MATH 20D or MATH 21D"
"MAE","118","MAE-118","Introduction to Energy and Environment","Overview of present-day primary energy sources and availability: fossil fuel, renewable, and nuclear; heat engines; energy conservation, transportation, air pollution, and climate change. Students may not receive credit for both MAE 118 and MAE 118A.","MAE 101A or CENG 101A"
"MAE","119","MAE-119","Introduction to Renewable Energy: Solar and Wind","Basic principles of solar radiation—diffuse and direct radiation; elementary solar energy engineering—solar thermal and solar photovoltaic; basic principles of wind dynamics—hydrodynamic laws, wind intermittency, Betz’s law; elementary wind energy engineering; solar and wind energy perspectives; operating the California power grid with 33 percent renewable energy sources. Students may not receive credit for both MAE 118B and MAE 119.","PHYS 2C"
"MAE","120","MAE-120","Introduction to Nuclear Energy","Overview of basic fission and fusion processes. Elementary fission reactor physics and engineering; environmental and waste disposal issues. Survey of fusion technology issues and perspectives. May not receive credit for both MAE 118C and MAE 120.","MAE 101A or CENG 101A"
"MAE","121","MAE-121","Air Pollution Transport and Dispersion Modeling","Overview of air pollution and wastes and their impact. Characteristics of air pollutants. Air pollution transport. Atmospheric stability. Plume rise and dispersion. Meteorological data. Selecting the appropriate air quality model and case studies. Modeling complex terrain situations. Current air quality modeling issues. Laws and regulations to control air pollution.","MAE 122"
"MAE","122","MAE-122","Flow and Transport in the Environment","Introduction to the air and aquatic environments. Buoyancy, stratification, and rotation. Earth surface energy balance. Introduction to the atmospheric boundary layer. Advection and diffusion. Turbulent diffusion and dispersion in rivers and in the atmospheric boundary layer. Surface waves and internal gravity waves.","MAE 101A or CENG 101A"
"MAE","123","MAE-123","Introduction to Transport in Porous Media","Introduction to groundwater flow. Pollution transport through the water table. Fundamentals of flow. Single- and multi-phase flow. Darcy law. Well hydraulics. Diffusion and dispersion. Gravity currents and plumes in porous media. Chemistry of fluid-solid interactions. Fundamentals of adsorption and surface reactions.","MAE 105"
"MAE","125","MAE-125","Building Energy Efficiency","Physical building performance including building thermodynamics, daylighting, and solar control. Heat transfer through building envelope, solar geometry, and shading. Heating, ventilation, and air conditioning system design, water heating, microclimates, passive system design, energy efficient design, applicant energy use, cost estimating. Building energy codes and standards. Building design project with whole building energy simulation software.","none"
"MAE","126A","MAE-126A","Environmental Engineering Laboratory","Analysis of experiments in Environmental Engineering: Drag in a water tunnel, shading effects on solar photovoltaic, buoyant plume dispersion in a water tank, atmospheric turbulence, and others. Use of sensors and data acquisition. Laboratory report writing; error analysis; engineering ethics.","MAE 101A or CENG 101A, MAE 170"
"MAE","126B","MAE-126B","Environmental Engineering Design","Fundamental principles of environmental design. Building a working prototype or computer model for an environmental engineering application. Work in teams to propose and design experiments and components, obtain data, complete engineering analysis, and write a report. Engineering ethics and professionalism.","MAE 126A"
"MAE","130","MAE-130","Advanced Vibrations","Harmonically excited vibrations. Vibration of multiple degree-of-freedom systems. Observations, including beat frequencies, static and dynamic coupling, traveling, and standing wave phenomena. Vibration of continuous systems. Hamilton’s equations. Distributed and point forces and moments in continuous systems and the generalized Dirac distribution. Response to impact and impulse excitation. Modeling continuous systems with approximate discrete models. Restricted to engineering majors only MC 25, MC 27, MC 29, MC 30–34, MC 35–37, MO 21, SE 27.","MATH 18 or MATH 31AH, MAE 30B"
"MAE","131A","MAE-131A","Solid Mechanics I","Concepts of stress and strain. Hooke’s Law. Axial loading of bars. Torsion of circular shafts. Shearing and normal stresses in beam bending. Deflections in beams. Statically determinate and indeterminate problems. Combined loading. Principal stresses and design criteria. Buckling of columns.","MATH 20D, MAE 30A or MAE 130A or SE 101A"
"MAE","131B","MAE-131B","Fundamentals of Solid Mechanics II","Analysis of 3-D states of stress and strain. Governing equations of linear elasticity. Solution of elasticity problems in rectangular and polar coordinates. Stress concentration. Failure criteria. Torsion of noncircular and thin walled members. Energy methods. Plastic collapse and limit analysis.","MAE 131A or SE 110A, MAE 105"
"MAE","133","MAE-133","Finite Element Methods in Mechanical and Aerospace Engineering","Development of stiffness and mass matrices based upon variational principles and application to static, dynamic, and design problems in structural and solid mechanics. Architecture of computer codes for linear and nonlinear finite element analysis. The use of general-purpose finite element codes.","MAE 131A or SE 110A"
"MAE","142","MAE-142","Dynamics and Control of Aerospace Vehicles","The dynamics of vehicles in space or air are derived for analysis of the stability properties of spacecraft and aircraft. The theory of flight, lift, drag, Dutch roll and phugoid modes of aircraft are discussed. Optimal state space control theory for the design of analog and digital controllers (autopilots).","MAE 104, MAE 143B or ECE 171A"
"MAE","143A","MAE-143A","Signals and Systems","Dynamic modeling and vector differential equations. Concepts of state, input, output. Linearization around equilibria. Laplace transform, solutions to ODEs. Transfer functions and convolution representation of dynamic systems. Discrete signals, difference equations, z-transform. Continuous and discrete Fourier transform.","MATH 20D or MATH 21D, MATH 20E, MATH 18 or MATH 20F or MATH 31AH"
"MAE","143B","MAE-143B","Linear Control","Analysis and design of feedback systems in the frequency domain. Transfer functions. Time response specifications. PID controllers and Ziegler-Nichols tuning. Stability via Routh-Hurwitz test. Root locus method. Frequence response: Bode and Nyquist diagrams. Dynamic compensators, phase-lead and phase-lag. Actuator saturation and integrator wind-up.","MAE 143A"
"MAE","144","MAE-144","Embedded Control and Robotics","Each student builds, models, programs, and controls an unstable robotic system built around a small Linux computer. Review/synthesis of: A) modern physical and electrical CAD. B) dynamics, signals and systems, linear circuits; PWMs, H-bridges, quadrature encoders. C) embedded Linux, C, graphical programming; multithreaded applications; bus communication to supporting ICs. D) classical control theory in both continuous-time (CT) and discrete-time (DT); interconnection of CT and DT elements. Program or materials fees may apply.","MAE 143B or BENG 122A or ECE 171A"
"MAE","145","MAE-145","Introduction to Robotic Planning and Estimation","This course is an introduction to robotic planning algorithms and programming. Topics include sensor-based planning (bug algorithms), motion planning via decomposition and search (basic search algorithms on graphs, A*), the configuration-space concept, free configuration spaces via sampling, collision detection algorithms, (optimal) planning via sampling (probabilistic trees), environment roadmaps, and filtering for robot localization and environment mapping (SLAM).","MAE 8, MAE 108"
"MAE","146","MAE-146","Introduction to Machine Learning Algorithms","An introduction to the principles used to design and implement machine learning algorithms, as well as an understanding of their advantages and limitations. The topics covered are python review, supervised learning (linear, logistic/sigmoid regression, generalized linear models, nonlinear regression via Kernels), neural network types (convolutional, recurrent, deep NN), unsupervised learning (k-means clustering). Application of ML in different examples. Recommended preparation: ECE 143 and/or python programming knowledge.","MATH 31AH or MATH 18, MATH 20C or MATH 31BH, MAE 8, MAE 108 or ECE 109 or SE 125 or MATH 186 or MATH 183 or MATH 180A or ECON 120A"
"MAE","148","MAE-148","Introduction to Autonomous Vehicles","(Cross-listed with ECE 148.) Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management.","ECE 15 or ECE 35 or MAE 2 or MAE 3"
"MAE","149","MAE-149","Sensor Networks","(Cross-listed with ECE 156.) Characteristics of chemical, biological, seismic, and other physical sensors; signal processing techniques supporting distributed detection of salient events; wireless communication and networking protocols supporting formation of robust censor fabrics; current experience with low power, low-cost sensor deployments. Students may not receive credit for both MAE 149 and ECE 156. May be coscheduled with SIOC 238.","none"
"MAE","150","MAE-150","Computational Methods for Design","Computer-aided analysis and design. Design methodology, tolerance analysis, Monte Carlo analysis, kinematics and computer-aided design of linkages, design of cams and cam dynamics, design optimization, finite element analysis fundamentals, design using commercially available CAD and analysis software.","MAE 30A or MAE 130A or SE 101A or BENG 110, MAE 107 or SE 121, MAE 3 or MAE 2"
"MAE","152","MAE-152","Introductions to Manual and CNC Machining","In this class, students are introduced to precision machining. Students will learn the proper safe operating procedures of a manual mill and lathe, band saws, and hand tools. Other topics include the basics of tolerancing, design (Fusion 360), and operation of CNC milling and turning. Program or materials fees may apply. Recommended preparation: It is recommended that students take introduction to design process through a hands-on design project course or some other introduction to shop course.","MAE 3 or MAE 2"
"MAE","153","MAE-153","Design of Machine Components","An introduction to the fundamentals of machine design in mechanical and aerospace engineering. The course covers the principles of failure theories, design methodologies, and their application in essential machine elements and structures. Topics include analyzing components by applying the theories from statics, dynamics, and mechanics of materials; static and fatigue failure theories; and designing machine components, including shafts, gears, bearings, fasteners, and geometric dimensioning and tolerancing.","MAE 131A"
"MAE","154","MAE-154","Product Design and Entrepreneurship","This course will teach teams of students how to develop concepts and business plans in the design of new and innovative products. Emphasis will be placed on identifying user needs, concept generation, and prototype fabrication.","none"
"MAE","155A","MAE-155A","Aerospace Engineering Design I","Fundamental principles of aerospace vehicle design including the conceptual, preliminary, and detailed design phases. Aeronautical or astronautical design project that integrates all appropriate engineering disciplines as well as issues associated with optimization, teamwork, manufacturability, reporting, and professionalism.","MAE 2 or MAE 21 or SE 2 or SE 104, MAE 104, MAE 30B or MAE 130C, SE 160A"
"MAE","155B","MAE-155B","Aerospace Engineering Design II","The principles of aerospace vehicle design including the conceptual, preliminary, and detailed design phases. Aeronautical or astronautical design project that integrates all appropriate engineering disciplines as well as issues associated with optimization, teamwork, manufacturability, reporting, and professionalism. Program or materials fees may apply.","MAE 113, MAE 142, MAE 155A, MAE 170"
"MAE","156A","MAE-156A","Fundamental Principles of Mechanical Design I","Fundamental principles of mechanical design and the design process. Application of engineering science to the design and analysis of mechanical components. Initiation of team design projects that culminate in MAE 156B with a working prototype designed for a real engineering application. Professional ethics discussed. Program or materials fees may apply.","MAE 3, MAE 30B, MAE 131A, MAE 150, MAE 170"
"MAE","156B","MAE-156B","Fundamental Principles of Mechanical Design II","Fundamental principles of mechanical design and the design process. Culmination of a team design project initiated in MAE 156A which results in a working prototype designed for a real engineering application.","MAE 156A, MAE 101C, MAE 143B, MAE 160 or MAE 131B"
"MAE","160","MAE-160","Mechanical Behavior of Materials","Elasticity and inelasticity, dislocations and plasticity of crystals, creep, and strengthening mechanisms. Mechanical behavior of ceramics, composites, and polymers. Fracture: mechanical and microstructural. Fatigue. Laboratory demonstrations of selected topics.","MAE 20, MAE 30A or MAE 130A or SE 101A, MAE 131A"
"MAE","165","MAE-165","Fatigue and Failure Analysis of Engineering Components","The engineering and scientific aspects of crack nucleation, slow crack growth, and unstable fracture in crystalline and amorphous solids. Microstructural effects on crack initiation, fatigue crack growth and fracture toughness. Methods of fatigue testing and fracture toughness testing. Fractography and microfractography. Design safe methodologies and failure prevention. Failure analysis of real engineering structures.","none"
"MAE","166","MAE-166","Modern Concepts in Nanotechnology","(Cross-listed with NANO 156.) This course offers a worm’s eye perspective on recent developments on nanomaterials through case studies building on basic principles of synthesis techniques, processing, microstructural control, and unique physical properties of materials in nanoscale dimensions. Particular focus will be given to physical properties and technological applications of nanowires, quantum dots, and thin films. Students may not receive credit for both NANO 156 and MAE 166.","none"
"MAE","167","MAE-167","Wave Dynamics in Materials","Pressure and shear waves in infinite solids. Reflection and diffraction. Rayleigh and Love waves in semi-infinite space. Impulse load on a half space. Waveguides and group velocity.","none"
"MAE","170","MAE-170","Experimental Techniques","Principles and practice of measurement and control and the design and conduct of experiments. Technical report writing. Lectures relate to dimensional analysis, error analysis, signal-to-noise problems, filtering, data acquisition and data reduction, as well as background of experiments and statistical analysis. Experiments relate to the use of electronic devices and sensors.","PHYS 2C or PHYS 4B, PHYS 2CL or MAE 140 or MAE 40"
"MAE","171A","MAE-171A","Mechanical Engineering Laboratory I","Design and analysis of experiments in fluid mechanics, solid mechanics, and control engineering. Experiments in wind tunnel, water tunnel, vibration table and material testing machines, and refined electromechanical systems. Laboratory report writing; error analysis; engineering ethics.","MAE 101A, MAE 143B, MAE 170"
"MAE","171B","MAE-171B","Mechanical Engineering Laboratory II","Design and analysis of original experiments in mechanical engineering. Students research projects using experimental facilities in undergraduate laboratories: wind tunnel, water channel, vibration table, and testing machine and control systems. Students propose and design experiments, obtain data, complete engineering analysis and write a major report.","MAE 171A"
"MAE","175A","MAE-175A","Aerospace Engineering Laboratory I","Analysis of aerospace engineering systems using experimental facilities in undergraduate laboratories: wind tunnel, gyroscope control, vibration table, and 2-D helicopter flight dynamics. Students operate facilities, obtain data, complete engineering analysis and write major reports.","MAE 143B, MAE 170"
"MAE","180","MAE-180","Orbital Mechanics","Students perform analyses based on mission requirements. Selected topics include astrodynamics, orbital motion, perturbations, coordinate systems and frames of reference, ground tracks and classification of common orbits, orbit determination, orbital maneuvers, station keeping, orbit injection and launch geometry, and interplanetary and lunar trajectories.","none"
"MAE","181","MAE-181","Space Mission Analysis and Design","Space mission concepts, architectures, and analysis. Mission geometry. Astrodynamics. Orbit and constellation design. Space environment. Payload and spacecraft design and sizing. Power sources and distribution. Thermal management. Structural design. Guidance and navigation. Space propulsion. Orbital debris and survivability. Cost modeling and risk analysis.","none"
"MAE","182","MAE-182","Spacecraft Guidance and Navigation","Navigational and guidance requirements for orbital, planetary, and atmospheric entry missions. Guidance systems. Observation instrument point, tracking, control. Celestial, radio, and inertial navigation schemes. Link budgets, antennas, and telemetry systems.","MAE 108, MAE 180"
"MAE","184","MAE-184","Flight Simulation Techniques","Students will develop software and methods to simulate the motion characteristics of flight vehicles. Six degree-of-freedom equations of motion will be reviewed with emphasis on computer implementation. Algorithms for data modeling, numerical integration, equilibrium, and linearization will be introduced. Three-dimensional visualization techniques will be explored for representing operator and observer viewpoints. Applications include aircraft, launch vehicles, automobiles, and marine vessels.","none"
"MAE","185","MAE-185","Computational Fluid Mechanics","This course will cover numerical solutions of the compressible and incompressible Navier-Stokes equations using finite difference and finite volume discretization with a primary emphasis on programming and a secondary emphasis on application of commercial tools. Introduction to flow visualization will also be covered.","MAE 101B, MAE 107"
"MAE","190","MAE-190","Topics in Mechanical and Aerospace Engineering","Topics of special interest in mechanical and aerospace engineering. May be repeated for credit as topics vary.","none"
"MAE","191","MAE-191","Topics in Mechanical and Aerospace Engineering with Laboratory","Topics of special interest in mechanical and aerospace engineering with laboratory. May be repeated for credit as topics vary.","none"
"MAE","197","MAE-197","Engineering Internship","Students work in local industry or hospitals under faculty supervision. Units may not be applied toward graduation requirements. Salaried or unsalaried. Number of units determined by enrollment frequency. First quarter up to four units. Subsequent quarters cannot exceed one unit.","none"
"MAE","198","MAE-198","Directed Group Study","Directed group study on a topic or in a field not included in the regular department curriculum, by special arrangement with a faculty member. May be taken P/NP only.","none"
"MAE","199","MAE-199","Independent Study for Undergraduates","Independent reading or research on a problem by special arrangement with a faculty member. P/NP grades only.","none"
"COGS","001","COGS-001","Introduction to Cognitive Science","A team-taught course highlighting development of the field and the broad range of topics covered in the major. Example topics include addiction, analogy, animal cognition, human-computer interaction, language, neuroimaging, neural networks, reasoning, robots, and real-world applications.","none"
"COGS","002","COGS-002","Cognitive Neuroeconomics","This course is an introduction to the neuroscience behind the principles of economic decision-making. The topics in this course are aimed at exploring the underlying cognitive and neural mechanisms that drive the decisions behind traditional economic models.","none"
"COGS","003","COGS-003","Introduction to Computing","Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required.","none"
"COGS","003R","COGS-003R","Introduction to Computing","Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. This course is a distance education course. Students may receive credit for one of the following: COGS 3R or COGS 3. No previous programming experience is required.","none"
"COGS","008","COGS-008","Hands-on Computing","Introductory-level course that will give students hands-on experience with robotics, Python programming, and integrating cognitive principles for robot interaction. Prerequisites: freshman and sophomore standing. (No prior programming experience required.)","none"
"COGS","009","COGS-009","Introduction to Data Science","Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition.","none"
"COGS","010","COGS-010","Cognitive Consequences of Technology","This course examines the interrelationships of cognition and technology from the perspective of cognitive science. We address questions of importance for our increasingly technological society: How does technology shape our minds? How should what we know about our minds shape technology?","none"
"COGS","011","COGS-011","Minds and Brains","How damaged and normal brains influence the way humans solve problems, remember or forget, pay attention to things; how they affect our emotions, and the way we use language in daily life.","none"
"COGS","012","COGS-012","Language, Culture, and Cognition","Do people who speak different languages think differently? Does learning new languages change the way you think? Are some thoughts unthinkable without language? Course will bring together ideas and findings from psychology, linguistics, anthropology, neuroscience, and philosophy.","none"
"COGS","013","COGS-013","Field Methods: Studying Cognition in the Wild","This course introduces students to multiple methods to investigate cognition and behavior in natural settings. Students will learn about ethnography, videography (video data collection, coding, and analysis), surveys design and conducting interviews, and how to move from observations to modeling.","none"
"COGS","014A","COGS-014A","Introduction to Research Methods","Introduction to the scientific method. Methods of knowledge acquisition, research questions, hypotheses, operational definitions, variables, control. Observation, levels of measurement, reliability, validity. Experimentation and design: between-groups, within-subjects, quasi-experimental, factorial, single-subject. Correlational and observational studies. Ethics in research.","none"
"COGS","014B","COGS-014B","Introduction to Statistical Analysis","Introduction to descriptive and inferential statistics. Tables, graphs, measures of central tendency and variability. Distributions, Z-scores, correlation, regression. Probability, sampling, logic of inferential statistics, hypothesis testing, decision theory. T-test, one and two-way Anova, nonparametric tests (Chi-square).","COGS 14A"
"COGS","015","COGS-015","What the *#!?: An Uncensored Introduction to Language","This course uses the study of swearing to introduce topics in language: how children learn it, why it changes over time, and how people pronounce and understand it. Students who believe they could be offended by the study of swearing and other taboo language might not find this course appropriate for them.","none"
"COGS","017","COGS-017","Neurobiology of Cognition","Introduction to the organization and functions of the nervous system. Topics include molecular, cellular, developmental, systems, and behavioral neurobiology. Specifically, structure and function of neurons, peripheral and central nervous systems, sensory, motor, and control systems, learning and memory mechanisms. (Students may not receive credit for both BILD12 and COGS 17. This course fulfills general-education requirements for Marshall and Roosevelt Colleges as well as Warren by petition.)","none"
"COGS","018","COGS-018","Introduction to Python","This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3.","none"
"COGS","020","COGS-020","Exploring the Musical Mind","(Cross-listed with MUS 20.) How do we transform complex sounds into comprehensible and meaningful music? What physiological, neurological, cognitive, and cultural systems are involved? Why do we make music in such diverse ways around the globe? Does music have evolutionary or ecological significance? What is the relationship between music, motion, and emotions? This course explores contemporary understandings of how we hear and how we become musical and invites students to listen to new music in new ways. Students may receive credit for one of the following: MUS 20, MUS 20R, or COGS 20.","none"
